"Intercept","wshd_area_km2","accm_water_exchng_kg_d","mean_ann_pcpt_mm","wshd_max_elevation_m","mean_ann_flow_m3s","basin"
-12.0794648085261,1.45598096344723,1.09139672444061,0.182797923462429,-0.0683552679888643,-0.438868370068814,-0.282819965571605
-12.026545412084,1.49603609799281,1.10152319377552,0.163019067012629,-0.102050396137323,-0.491631136620479,-0.560644204284126
-12.3476603187631,1.48330299907824,1.10077757970308,0.155679111626299,-0.0381742366905117,-0.494121487651089,-0.571380481779395
-11.0579120451538,1.42088439771672,1.11374169194182,0.106110344471558,-0.179909293054439,-0.408797268776678,-0.332064955401931
-13.4761561054667,1.56467162755758,1.14827991495673,0.190035425865114,-0.0683605073397679,-0.595032354247825,-0.593884402001513
-9.52170343996669,1.32548323911729,1.07506493817597,-0.164635540195444,-0.0137286679634227,-0.362935054493555,-0.304871136623224
-10.0786455714934,1.30128136988293,1.05950853044827,-0.0656063299607298,0.0704118277916375,-0.338352755592261,-0.693035936789916
-13.2280085482176,1.57182471181101,1.11947040018272,0.230579223221424,-0.110465223356624,-0.565930801300594,-0.295479620312653
-9.43685842604032,1.33974445436911,1.07531740829774,-0.23832890326809,0.0473769580410744,-0.378061991117871,-0.328591715459813
-9.99987595011972,1.3373302865471,1.09454635581667,-0.195334966929706,0.0714944279547111,-0.393853025182309,-0.526465068089643
-9.83187093050834,1.27510072169683,1.07182600967401,-0.00841518320285788,-0.0620620950532219,-0.301031352422367,-0.665287970002372
-10.2526450487854,1.34148909709311,1.08462944198905,-0.0581796003110859,-0.00469018555480531,-0.373725458883999,-0.512202167975276
-13.4913921559755,1.54777145312944,1.09899828175398,0.389796823172417,-0.147161127403605,-0.5248857927996,-0.34337579925017
-11.1882282386772,1.26467081296761,1.08025591891597,0.13769360965143,-0.0277212883365567,-0.292966243967269,-0.271236499081798
-12.7688198241695,1.44327771498803,1.08375269041819,0.25158287262674,-0.0120521274640387,-0.434016495558526,-0.363130340431572
-15.1287021225355,1.58060142775597,1.16481531257662,0.536156774917709,-0.256784608019346,-0.564166858781369,0.0298371534033851
-9.92451416916697,1.38052800416244,1.08767041375183,-0.111892522560288,-0.0154918599432538,-0.405058430869697,-0.72174638443599
-10.0995692071437,1.38020998090095,1.07624461802163,-0.0472114821642082,-0.0403289092860481,-0.372600266164525,-0.431831582522176
-12.2307775791031,1.5022707510749,1.09206666791063,0.111171920663636,-0.0566733772278965,-0.496824835678891,-0.213969541562839
-11.1094021633641,1.38605944328725,1.12365988203055,-0.0217327783083763,-0.0367892360544223,-0.432262979381939,-0.522073385050783
-10.1523396575185,1.33572922201347,1.09122207066497,-0.0760662863594943,-0.0105352112512256,-0.368095275719191,-0.633026952508466
-9.10107055818978,1.2367753409667,1.07362020542635,-0.0919651917454539,-0.0499791180012119,-0.277338854039955,-0.496784295457458
-10.0816020779087,1.28964402856028,1.0443740302125,0.0245421658132838,0.0187611531791254,-0.309921891617147,-0.618774910127334
-11.4895888572116,1.43155304375034,1.11443807677397,0.0283959625861666,-0.0372691114503714,-0.462573822476876,-0.636471348608533
-13.3370280707304,1.49242613949733,1.10157201738713,0.331218708315254,-0.0886760318513271,-0.477309747656282,-0.270582847063574
-9.09460051569122,1.2957304935176,1.0644658970547,-0.244011611438052,0.0729973235644061,-0.348233553347724,-0.394082310321661
-8.95137020602659,1.22734175343892,1.10220370279654,-0.153630045946704,-0.0843753766659284,-0.270451102334305,-0.338639057914883
-9.90426372907613,1.37039148984017,1.05755674979824,-0.0780082853730525,0.0125799398470027,-0.386669981020505,-0.757726254980838
-11.100345335443,1.34618909590307,1.10860794512167,0.0543080466939458,-0.0417564995467227,-0.371232118354245,-0.671957462338676
-13.042301230213,1.5488590955522,1.11098597999975,0.264941644467825,-0.113432101156343,-0.551210966124759,-0.501762086663902
-13.3038090645341,1.52267822915201,1.12899664318197,0.340101332059,-0.22810979167678,-0.505565479192841,-0.244447478611709
-11.0950091956,1.34371005391283,1.06603198937338,0.0987797230838822,-0.0107632063869054,-0.351399128250274,-0.333384577357506
-8.70076760879277,1.30047435188378,1.05976028974731,-0.266416500572429,0.0286211417238348,-0.339346850679828,-0.577334672942849
-12.6667660896302,1.49906333603509,1.07524618954225,0.324514771433115,-0.116305163713254,-0.483903051008611,-0.372420854937577
-13.95721178896,1.52237771197142,1.12127605017258,0.41387438984334,-0.1554154749066,-0.509650209286303,-0.188907088207166
-12.6676167528456,1.53103923000665,1.11907794903361,0.161800551260028,-0.0708110718281481,-0.552856071635199,-0.589444504165785
-11.6851694362897,1.43919155044369,1.10698948586959,0.149844415885894,-0.135749434505866,-0.429064793621841,-0.35323445682943
-9.12200042289319,1.32132755742604,1.09618336965406,-0.154015552391142,-0.085262856353434,-0.335909057678706,-0.591478320724519
-9.82178428227096,1.30418723379337,1.06402502940915,-0.1021839222265,0.0518404451760317,-0.342702176316862,-0.70259719814635
-12.8175135541566,1.4739032372631,1.11314036992459,0.31501840064158,-0.170719345939271,-0.449766748885157,-0.126512343286031
-11.7389479972027,1.37596550075805,1.09924508449042,0.154307205647333,-0.0758729967677444,-0.378846146264434,-0.226670133887919
-13.6531647673866,1.53667439777907,1.10732658257361,0.254422383576909,-0.0808920488121511,-0.535989003733407,0.0961920679726739
-11.0444982681779,1.33836867203315,1.07960886041393,0.0156318736852317,0.0322302830365346,-0.383517120817367,-0.420086346210758
-13.4055667398367,1.50911266882548,1.14372046554881,0.325260097219925,-0.189703874672185,-0.505566012592016,-0.181932698408647
-11.7044641273239,1.34277312132828,1.0535363667828,0.204499500861816,0.00996211626625408,-0.349689231639532,-0.365817001923185
-12.937578295724,1.49615518452618,1.08566778932182,0.314588871934988,-0.0880354587073194,-0.471445835140844,-0.324514400985049
